71,
mai a kufuma,
mai a kujaa,
,
,
ufuo,
mpwa,
mwamba,
mvuvi,ntonyi
isi ,
tasi,
kasiya,
upo,
tangu,
mkundaji,nkoma
nguru,
papa,
kiboma,
kuvunda,
kueleya,kuweyaweya
kudhama,
lulu,
shadha,ishadha
ikaa,
kasa,
pwedha,nambo
nkidhi,
simu,
ndoana,kiovo
chambo,
yuru,
ogeleya,
omo,mbee
jahadhi,mashua
meli,
dau,idau
kihori,
tedhi,nyuma
ngamani,
ichanga,
ndoana,
oza,voa
nyongo,
mwiba,mwiva
para,
ivumba,vumba
ncho,
mayi a tamu,mayi tamu
mayi a chumbi,
dhiwa,idhivani
pwani,mpwa
ntanga wa pwani,
mayi a pwani,mai a pwani
mavimbi,madhimbi
bahari ichefusiye,
shwari,
