105,,
gafula,,
,,
-enye kupendedha,,
-enye kupendedha,,
kufurahishwa,ufurahisiye,kutekeshwa
kachi na kachi,,
mwenye kishaa,,
kuchoka,,
shujaa,,
-enye kung'ara,,
panafu,,
nteshi,,
fidhuli,,
nteshi,,
kidingidingi,kibonge,
swafi,,
kweupe,,
magovo,,
mpochoko,,
katili,,
dhicho,,
kukunda,,
mbinafsi,,
hatari,,
,,
ilovowa,,
muongo,,
kina kirefu,,
kusindwa,,
masuwa,,
kukosa raha,,
choka,,
igango ,,
kukatiya,,
maridadi,,
kifefe,,
kujera,,
kidhuri,,
kindari,,
kuvutiya,,
nzuri,,
nkali,,
chafu,,
nyoka,,
regeya,,
pepeya,,
ndhuka,,
wasiwasi,,
safi,,
kirafiki,,
mpole,,
kukanavi,,
aso makini,,
ikuru,,
kuvuchiya,,
nng'aro,,
tukufu,,
kupendedha,,
amiari,,
-enye mafuta,,
masikitiko,,
thembethembe,,
-kenavi,,
afiya,,
kusaidiya,,
nnyonge,,
iyu,,
shimo,,
-vuchiya,,
-chisha,,
ikuru,,
ndaa,,
kuumidha,,
baridi,,
kufaa,,
mtu wa hasira,,
nnyendho,,
wivu,,
wasiwasi,,
nteshi,,
,,
kufaa,,
nteshi,,
kufurahisha,,
kuvutiya,,
wasiwasi,,
mkarimu,,
hatari,,
bahatika,,
nteshi,,
mato,,
nyembamba,,
mbaya,,
duko,,
kuwa na wasiwasi,,
mwenye kishaa,,
kamilifu,,
shangaa,,
ndodi,,
ndodi,,
wadhiwadhi,,
pendedha,,
makini,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
vowa,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
kathithi,,
