726,,,
Akaunchi,,,
Kuidai,,,
Mabadiliko,,,
Changadho,kualika,,
Makubaliano,maridhiano,,
Hewa,upepo,,
Kivango,,,
Furaha,Kitekesho,,
,,,
Nnyama,naama,,
Jawabu,,,
Tungu,,,
Dhifaa,chombo,kifaa,
Tufaha,,,
Pichisha,ruhusa,idhini,
,,,
uchesi,Mabishano,,
Nkono,,,
Jeshi,,,
Sanaa,,,
Uvamidhi,,,
Jaribu,,,
Uchulivu,,,
kivuchiyo,,,
Manlaka,,,
Nchocho,,,
Nima,,,
Mfuko,mkoba,,
Kuveka sawa,,,
Mpwira,,,
stesheni,,,
,,,
Dishi,bafe,ibafe,beseni
Kikapu,,,
Kowa,choo,,
Kichanda,,,
Nyuki,noki,mbuvo,nuki
Tabia,,,
amini,itikadi,,
Kengele,,,
,,,
Nyonyi,noni,,
dhaliwa,madhadhi,,
Kipande cha kichu,,,
ambua,,,
Kijembe,,,
Damu,,,
vudhiya,,,
Ubavo,,,
Bochi,jahazi,jahadhi,
Mvili,,,
Nfupa,mfupa,,
Kitabu,,,
Dhiachu,buchi,,
Thupa,,,
Ibokisi,ibogisi,sanduku,bokisi
Nchuvuli,nchumvuli,mwananvuli,
Ubongo,bongo,,
bureki ,,,
Tawi,itambu,,
Shaba,,,
Nkache,,,
Pumudhi,,,
Ijiwe ,,,
Kitaraja,,,
Abawa,,,
Brashi,burashi,,
Ndoo,,,
Ijumba,,,
Gulopu,golopu,,
Kuchoma,,,
kuanguwa kicheko,,,
Biashara,,,
Siagi,,,
Kifungo,,,
Keki,,,
Kamera,,,
itonobari,,,
Kadi,karata,,
Kuitunga,,,
,,,
,,,
,,,
Paka,,,
Kisababishi,,,
Cheni,silisili,,
Chaki,,,
Nafasi,bahati,,
Kubadilika,geudha,,
,,,
,,,
Kidevu,,,
Kanisa ,,,
Duara,mviringo,,
Saa,mviringo,,
Nguvo,,,
Mavingu,ivingu,,
Makaa,,,
Ikochi,kochi,,
ukosi,,,
Rangi,,,
Shanura,kitana,shanuo,tana
Kuridhika,chulidha,,
Kamachi,,,
Kampuni,,,
Kulinganisha,,,
Mashindano,,,
kuandamana,,,
Hali,,,
Kuunganisha,,,
Dhivia,,,
pika,,,
Shaba nyehundu,,,
taba,kopi,igidha,
taba,kopi,igidha,
Kambaa,kamba,,
kifiniko,,,
kohoa,kohowa,,
Nchi,,,
finika,,,
Ng’ombe,,,
Ufa,,,
kopa,,,
Uhalifu,,,
saga,,,
lia ,,,
Kikombe,kikopwa,,
A sasa,a kisasa,,
Padhia,,,
Mkundo,,,
ncho,,,
Kuharibu,,,
Hatari,,,
Mwana wa kike,bin'ti,,
Siku,ntana,,
Kifo,,,
Deni,,,
Uamudhi,,,
Digirii,,,
Sampuli,,,
Matamanio,,,
Kuvunda,kuharibu,,
Maeledho,,,
Maendeleo,,,
almasi ,,,
saga,,,
Muekedho,,,
dhumbua,,,
jadiliana,madhungumudho,,
Uwee,,,
 tukiya,,,
Umbali,,,
avanya,,,
 muavanyiko,,,
imbwa,,,
Nlango,,,
shuku,,,
bomba,,,
Nchumba wa kabati,diroo,duroo,
Kandu,nguvo,,
kunwa,,,
endesha,,,
Kichone,itone,,
Ivumbi,,,
Shikio,ishikio,,
Dunia,,,
Ukingo,,,
Ilimu,,,
athiri,athari,asari,
Ingi,,,
zumaridi ,,,
Mwisho,,,
nchambo,,,
Kosa,,,
Chukio,,,
Mfano,,,
badilisha ,,,
bakiya,kuveko,,
upanudhi,,,
Uzoefu,udhoefu,,
Ujudhi,N’yudhi,,
ito,,,
vuso,,,
vuso,,,
Uhakika,,,
Kuanguka,,,
jamii,,,
Hondeni,honde,,
baba,,,
kucha,,,
ubele,ubale,,
husikia,,,
si ukweli,,,
uvandani,,,
kuvuana,,,
Kijaa,,,
mocho,,,
Samaki,isi,,
Bendera ,,,
irurumbi,,,
ndege,,,
sakafu,kidha,,
iua,,,
uka,ndhi,,
kukuta,,,
chakula,,,
Malivacho,,,
kwa nguvu,,,
uma,,,
vumbo,fomu,,
,,,
furemu,,,
rafiki,,,
mbee,,,
chunda,,,
bustani,,,
kito,,,
havule,,,
Bilauri,,,
,,,
mbudhi,,,
dhahabu,,,
,,,
sirikali,,,
nafaka,,,
nyasi,magugu,,
kadha,,,
kikundi,,,
kufura,,,
ekedha,,,
bundhuki,,,
nee ,,,
nundo,nyundo,,
nkono,,,
pwani,,,
uchulivu,,,
kepu,kofiya,,
tukiya,,,
Kitwa,,,
masikidhi,,,
Moyo,,,
mvuke,jocho,,
saidia,,,
,,,
ishimo,,,
kiovo,ndoana,,
tamaa,,,
pembe,,,
farasi,,,
sipichali,hospichalli,,
isaa,saa,,
numba,,,
,,,
barafu,,,
vadho,,,
kitambulilshi,,,
,,,
dhidi,,,
kivandani,,,
wino,,,
ndudu,,,
Dhifaa,chombo,kifaa,
bima,,,
riba,,,
dhumbua,,,
chuma,,,
kisiwa,,,
,,,
kito,,,
unga,,,
safari,,,
hukumu,,,
juisi,mai ya nzinga,,
kuuka,,,
buli,,,
ufunguo,,,
kubika teke,,,
Kushumu,,,
igonjo,gochi,,
kisu,,,
ifundo,,,
Uyuzi,,,
Ardhi,,,
Luga,,,
teka,,,
ongodha,,,
iyani,mayani,,
-ifunda,soma,,
Ngodhi,,,
guu,iguu,n'guu,
Barua,,,
Kivango,,,
maktaba,makitaba,,
nyuwa,,,
Muangadha,,,
Kiasi,,,
nsitari,,,
Hariri,,,
ndomo,,,
Mai mai,,,
Orodha,,,
,,,
enga,,,
Hasara,,,
mahaba,penda,,
ithi,,,
Mashini,ingini,nchambo,
Nchunvuli,mwanamvuli,n'chu,
Meneja,,,
mwekeo,mwelekeo,,
Alama,,,
Sokoni ,,,
Udhicho,,,
,,,
Chakula,,,
pima,,,
Nama,,,
Kikao,,,
Fahamu,,,
Chuma,,,
Kachi,,,
idhiva,,,
akili,,,
dhangu,,,
dakika,,,
umande,,,
sen'thi,,,
tavau,yonda,,
mwedhi,,,
mwedhi,,,
asubuhi ,,,
mame ,,,
,,,
nlima,,,
ndomo,,,
kutengelea,gura,,
,,,
mziki,nyimbo,,
nsumari,,,
ina ,,,
taifa,,,
shingo,ukosi,mmiyo,
kutaka ,,,
sindanu,,,
,,,
nyavu,,,
habari,taarifa,,
usiku,,,
kubika kele,,,
pua,,,
nochi,,,
namba,,,
njugu,,,
peleledha,kudadisi,,
,,,
ofisi,,,
mafucha,,,
kupasuliwa,,,
vadho,,,
ichungwa,,,
kuagidha,,,
,,,
chombo,,,
oveni,,,
mwenyewe,,,
ubasho,,,
kuvavwa,,,
kupaka ,,,
karatasi,,,
mzigo,kifurushi,kifurusi,
kichengo,,,
rojorojo,,,
malipo,,,
amani,,,
lulu,,,
kalamu,,,
kalamu a kipande,penseli,,
nchu,,,
picha,,,
nguve,,,
pini,,,
Dhumari,bomba,,
pahali,,,
baluna,,,
nchi,,,
sahani,,,
tedha,,,
raha,,,
kupaliliya,,,
nfuko,,,
nukuta,,,
sumu,,,
,,,
Hamali,,,
cheo,kivango,,
chungu,ntungi,,
kiadhi,,,
kiadhi,,,
vunga ,,,
nguvu,,,
bei,,,
chapisha,,,
jela,,,
,,,
dhalisha,madhao,,
faida,,,
mali,,,
,,,
kuandamana,,,
kidimbwi,,,
,,,
adhabu,,,
sababu,,,
sukuma,,,
,,,
suali,,,
reli,chuma,,
Vua,,,
Kiasi,,,
pana,,,
Kivango,,,
Miale a mocho,,,
,,,
Kusoma,,,
Sababu,,,
risichi,,,
