277,,
hee,shikachukuwa,dumba
Wisa,maliza,
dumba,,
Umiza,,
kugoma,,
kudumba,,
kumwacha,,
kujibu,,
kutumia,,
kushindana,,
kupanga,,
Kuja,kufika,
kuuza,,
kwepuka,,
,,
kwaza,,
kwamini,,
Kujenga,kutomea,kukandika
kununua,,
Kupiga sim,,
Kumona,kujali,
Kuchukuwa,kutwaa,
kukamata,,
kusababisha,,
kubadili,,
kutizama,,
kuchagua,,
Kosa,kutengeneza,
kutengeneza,,
Kutua kichungu,kukusanya,
Kufika,,
Kusikitika,kunug’hunika,
Kwisa,kumaliza,
Tua kichungu,,
,,
wendelea,,
Kongezea,,
kumiliki,,
Rekebisha,tua sawa,tengeneza
Bei,kiasi,
Kugoma,,
Kuumba,kuunda,
Kuvuka,kukia,
kukata,,
kubomoa,,
panga,,
Kuveleka,,
Kusidumba,kukataa,
kutegemea,,
Kweleza,weleza,
Kubomoa,kuasiri,
kwendeleza,,
kwaga,,
Kuvumbua,kugundua,
kutenda,,
Kuvwaa,,
nywa,,
Wendesha,,
Kulya,kusabehe,
kuchochea,,
kufurahi,,
kuwavo,,
nangoja,,
zowea,,
weleza,,
Upesi upesi,,
uso,,
kugwa,,
Kujona,kuhisi,
Kutafuta,kusaka,
Kwisa,maliza,
ruka,,
Fata,kwezeza,
sahau,,
swamehe,,
Kutengeneza,kuunda,
vata,,
Kulavya,kumka,
Wenda,,
kukuwa,,
Kulawia,,
kuvata,,
kusikia,,
Kusaidia,kudiriki,
ficha,,
Kuzuia,kukamata kwa nguvu,
kugeza,,
fikiri,,
tengeneza,,
Kongeza,zidisha,
Kuvutia,kushawishi,
Weleza,mwambie,
Walika,kwalika,kualifu
kukutanisha,,
kuunga,,
kutua,,
kutambua,,
Kutua hata,,
kucheka,,
kufunzwa,,
Kuuka,kuwisha,
kopesha,,
kuchaka,,
Zuia,usilavye,usimke
kusikiliza,,
kuishi,,
Kutizama,kulola,
Kukaza,kuchaka,
Kuunda,kutengeneza,
jambo,,
kukusudia,,
kupima,,
"Kukutana,konana",,
Taja,nyambia,
akili,,
Kwenda,wisha,
Lazima,hasa,
kuchaka,,
kupunguza,,
Kufugua,kwacha wazi,
kulagiza,,
kumiliki,,
kulipa,,
kutenda,,
cheza,,
Kuonesha,,
kupendelea,,
Tuwa vyema,tayarisha,
Bonyeza,kudofya,
Kuzuia,kuhami,
vyalisha,,
linda,,
kulavya,,
Sukuma,suta,
kufika,,
kusoma,,
Kuvata,kukwa,pokea
Hifadhi,,
punguza,,
,,
husisha,,
Kulavya,kwachia,
kumbuka,,
Kuwisha,kulavya,
Rudia,rudiza,
badilisha,,
kujibu,,
habari,,
Jawabu,jibu,
rudiza,,
kutangaza,,
Kuonesha,kumurika,
Kupiga mbio,,
Kunusuru,kuoa,
Kuchowea,zungumza,
kona,,
kuza,,
Kutuma,kuveleka,kufikisha
seti,,
kugawana,,
risasi,,
Onesha,tizama,
kwimba,,
kukaa,,
kulala,,
,,
Kucheka,kuwa na bashasha,
chafya,,
sauti,,
Kuchowea,kuzungumza,
Kuuka wima,,
kwaza,,
,,
Kusoma,kudurusi,
kufanikiwa,,
pendekeza,,
kweneza,,
kuchakigwa,,
kuishi,,
fyagia,,
Kutwaa,kuchukuwa,kusoma
Kuchowea,kuzungumza,
kumwambia,,
,,
kugeza,,
Kurembea,kurusha,kutupa
Gusa,kamata,
fundisha,,
safiri,,
tibu,,
jaribisha,,
Kugeuza,kupinduza,kubadilisha
kuvitambua,,
kutumia,,
tembea,,
ngoja,,
kuchaka,,
kwenda,,
Tazama,lola,
shinda,,
Kujiuza,kushangaa,
kwandika,,
Kukanda,,
,,
kaanga,,
ujumbe,,
chuma,,
kuchoma,,
