84,
kuvuna,
kupaliliya,
kupanda,
nokowa,
mkulima,
tini,
zaituni,
mkonge,
msufi,
muhogo,
mahindi,
mchicha,
mnavu,
mrenda,
mbuyu,
mabuyu,
fenesi,
kunazi,
fufu,
zambarau,
kitoria,
bungo,
binda,benda
dania,
kotmiri,
kitunguu maji,
kitunguu thomo,
tamata,
tamata ya mkebe,
kiazi,
mikoko,
muembe,
mkunazi,
mnazi,
mgomba,
mkilifi,mwarbaini
mzambarau,
mkorosho,
mkanju,
muasmini,
mluwa,
muwardi,
matumba ya mawaridi,
iliki,
mandano,
karafuu,
mkarafuu,
mrehani,
kivumbani,
tepekuzi,
mkungu,
kungu,
zambarau,
mdalasini,
pilipili manga,
koma manga,
m'baazi,
m'kunde,
dengu,
ngano,
pojo,
pilipili,
pilipili boga,
tango,
kitango pepeta,
tikiti,
papayu,
ndizi,
embe,
kuti,
ng'ongo,
miyaa,
nazi,
mnazi,
dafu,
kitale,
mbirimbi,
zatari,
gilgilani,
zenyeu ,
kimumunye,
koma,
