1191,,,
akaunti ,,,
kujidai,tenda,fanya,
marekebisho,,,
tangazo,,,
makubaliano,maafikiano,,
hewa,upepo,,
kima,,,
kitekesho,,,
pembe,,,
mnyama,,,
jawabu,jibu,,
thungu,,,
chombo,,,
tufaha,,,
ruhusa,,,
 upinde,,,
utesi,,,
mkono,silaha,,
jeshi,,,
sanaa,,,
uvamizi,,,
jaribiyo,,,
uangalifu,,,
kivutiyo,,,
mamlaka,,,
mtoto,,,
nyuma,mgongoni mwa,,
mkoba,mfuko,begi,
baki,mizani,chenji,
mpira,,,
bendi,,,
kitako cha ,,,
beseni,,,
kikapu,,,
bafu ,,,
kitanda,,,
nyuki,,,
tabiya,,,
itiqadi,itikadi,,
kengele,,,
,,,
ndege,,,
mazazi,kuzaliwa,kuzawa kwa,
kipande cha,,,
kuuma,,,
kijembe,,,
damu,,,
viviya,pigo,,
ubao,,,
mashua,boti,,
mwili,,,
mfupa,,,
kitabu,,,
buti,,,
thupa,,,
boksi,sanduku,,
mtoto wa kiume,,,
ubongo,,,
breki,,,
utanzu,tawi,,
shaba,,,
mkate,,,
pumzi,,,
jiwe,,,
daraja,briji,,
ndugu wa kiume,,,
brashi,,,
ndoo,,,
jumba,,,
glopu,,,
kuteketeza,kuchoma,,
kupasuka,pasuwa,,
biashara,,,
siyagi,,,
kifungo,,,
keki,,,
kamera,,,
tonobari,,,
karata,kadi,,
jali,tunza,angalia,
,,,
rukwama,,,
zuliya,,,
paka,,,
sababu,,,
"silisili, cheni",,,
"choki, chaki",,,
"bahati, nafasi",,,
badilisha,mabadiliko,,
jibini,,,
,,,
kidevu,,,
kanisa,,,
duara,,,
saa,,,
nguo,kitambara,,
wingu,,,
makaa,,,
koti,,,
ukosi,,,
rangi,,,
kitana,shanuo,,
tuliza,starehe,faraja,
kamati,,,
kampuni,,,
kulinganisha,kufananisha,,
mashindano,,,
malamishi,,,
hali,,,
uhusiano,,,
dhibiti,zuwiya,,
pika,,,
shaba nyekundu,,,
igiza,igizia,kopi,
igiza,igizia,kopi,
kamba,,,
kifIniko,kifuniko,,
kohowa,,,
nti,nchi,,
finika,kifiniko,,
ng'ombe,,,
ufa,ingia ufa,,
deni,,,
uhalifu,,,
saga,vurujuwa,vuruga,ponda
liya,bwaga liyo,,
kikombe,,,
ya kisasa,iloingiya,,
paziya,,,
,,,
mtho,,,
ila,kasoro,,
hatari,,,
binti,mwana wa kike,mwana,
siku,mtana,,
kifo,mauti,,
deni,,,
uamuzi,,,
digrii,,,
Muundo,mchoro,,
taka,,,
uharibifu wa,,,
maelezo,,,
maendeleo,,,
almasi,,,
usagaji wa chakula,,,
upande,,,
uvumbuzi,,,
mazungumzo,,,
ugonjwa,,,
karaha,tukiya,tukiza,
umbali,,,
kugawanya,,,
mgawanyiko,,,
jibwa,,,
mlango,,,
shaka,kushuku,,
bomba,,,
droo,drowa,,
nguo,kanzu,,
kunwa,,,
kupeleka gari,kuendesha,,
tone,,,
vumbi,,,
shikio,,,
dunia,,,
ukingo,,,
ilimu,ilmu,,
athari,,,
yai,,,
zumaridi,,,
mwisho,,,
mtambo,injini,,
kosa,,,
tukio,shughuli,,
mfano,,,
kubadilisha,,,
kuwepo kwa,,,
upanuzi,,,
tajriba,uzoefu,,
mweledi,fundi,,
jito,,,
uso,,,
uso,,,
ukweli,,,
kuanguka,,,
jamaa,jamii,femili,
shamba,,,
baba,,,
khofu,kuogopa,kucha,kicho
unyowa,,,
kusikiya,,,
,,,
kiwanda,uwanda,,
kupigana,vita,,
kidole,,,
moto,,,
samaki,,,
bendera,,,
miyale ya moto,,,
ndege,,,
sakafu,,,
uwa,,,
ruka,nzi,,
kunda,,,
chakula,,,
guu,,,
lazimisha,kwa nguvu,tenza nguvu,
uma,,,
umbo,fomu,,
,,,
fremu,,,
rafiki,,,
mbele,,,
tunda,,,
bustani,,,
kito,,,
msichana,mwanamwali,,
glasi,,,
glovu,,,
mbuzi,,,
dhahabu,,,
dhahabu,,,
sirikali,,,
nafaka,,,
nyasi,,,
