665,,,,,,,,,,,,,,,,,
Pilipili hii kali sana,,,,,,,,,,,,,,,,,
Hapa kuna mwenda wazimu,,,,,,,,,,,,,,,,,
Yule bwana ni jabari.,,,,,,,,,,,,,,,,,
Yule muimbaji ana haiba kwelikweli akiimba,,,,,,,,,,,,,,,,,
Msichana yule kidingidingi,,,,,,,,,,,,,,,,,
Sisi twapenda uswafi,,,,,,,,,,,,,,,,,
Wingu limefunga. ,,,,,,,,,,,,,,,,,
Yule mtu katili sana,,,,,,,,,,,,,,,,,
Kusimama barabarani ni khatari,,,,,,,,,,,,,,,,,
Kuku yule ameoza,,,,,,,,,,,,,,,,,
Mzee mwinyi mrongo sana. Muongo sana. Asili ni muongo,,,,,,,,,,,,,,,,,
"Maji ya kupwa, maji yamejaa, maji yavuta",Maji mengi,"Mti huu ni mrefu, ngazi hii ni ndefu",,,,,,,,,,,,,,,
Mi nmekushinda,Mimi nmekushinda Fesal,,,,,,,,,,,,,,,,
Mimi nasikia kisunzi,Abdulnassir amesimama,Mimi nataka kusimama,Mimi nasikia kisunzi,,,,,,,,,,,,,,
Najiskia taabani nimechoka.,,,,,,,,,,,,,,,,,
Angalia yule kifefe amekonda,Amekonda kama ng’onda,,,,,,,,,,,,,,,,
Amesema uongo mpaka ametahayari,,,,,,,,,,,,,,,,,
Awadhi ataataa hajui afanyalo,,,,,,,,,,,,,,,,,
Nasikia harufu mbaya,Uvundo,Nasikia uvundo mbaya,Nasikia kwanuka harufu mbovu sana,,,,,,,,,,,,,,
Mzee Mwinyi mkarimu sana,Mzee Mwinyi mpole sana,,,,,,,,,,,,,,,,
Wale mbuzi wana afya,,,,,,,,,,,,,,,,,
Ali alikuwa kipande cha mtu,,,,,,,,,,,,,,,,,
Mimi nasikia ndaa sana,Ubao kihuni hiyo,Mi naskiya ndaa sijala,Ubao mmaneno ya kihuni,Ya kimaskani,Kiswahili cha maskani,,,,,,,,,,,,
Hili gari likikugonga litakuumiza.,,,,,,,,,,,,,,,,,
Maji yale yazizima,Baridi sana maji yazizima,,,,,,,,,,,,,,,,
Muwafaka ni maelewano,Sentensi yakutumia muafaka,Maafikiano,Katika mazungumzo yetu tumeafikiana,,,,,,,,,,,,,,
Mwili waniwasha,,,,,,,,,,,,,,,,,
