503,2589,(words and phrases),,,,
Pokea,Kubali,Kiri,Ridhia,kubali,,
Maliza,faulu,timiza,kamilisha,timiza,fanikiwa,
Ruhusu,ingiza,pitisha,laza hospitalini,kiri,ungama,kubali 
Athiri,dhuru,,,,,
weza,weza,,,,,
kubali,kiri,kubali,,,,
ruhusu,ruhusu,kubali,,,,
jibu,jibu,,,,,
tumia,paka,tafuta kazi,paka,tekeleza,fanya,
shindana,jibizana,bishana,,,,
panga,,,,,,
kuja,fika,wasili,,,,
uliza,,,,,,
epuka,wata,epuka,,,,
kuwa,,,,,,
anza,,,,,,
amini,,,,,,
jenga,,,,,,
nunuwa,,,,,,
piga simu,ita mtu,piga,,,,
jali,,,,,,
beba,tukuwa,eleka,,,,
shika,nyaka,daka,,,,
sababisha,sababu,,,,,
badili,badilika,,,,,
kagua,angaliya,,,,,
kutaguwa,teuwa,kuchaguwa,,,,
safisha,ondowa,tenga nyumba,,,,
safisha,,,,,,
kusanya,twaa,tukuwa,okota,,,
kuja,ndoo,,,,,
lalamika,,,,,,
kamilisha,maliza,malizika,,,,
jumuisha,,,,,,
kuwa na,ina,,,,,
endelea,,,,,,
changa,changia,,,,,
amrisha,peleka,,,,,
rekebisha,,,,,,
gharimu,gharama,bei,,,,
weza,eza,,,,,
umba,jenga,,,,,
vuka,,,,,,
kata,,,,,,
haribu,,,,,,
kabiliana,shughulikiya,pambana,,,,
fikisha,peleka,zaa,jifungua,,,
kana,kataa,,,,,
tegemeya,,,,,,
eleza,,,,,,
haribu,maliza,vunda,hasiri,,,
tengeza,kuza,unda,jenga,,,
poteya,,,,,,
gundua,juwa,,,,,
fanya,,,,,,
vaa,,,,,,
nwa,nywa,,,,,
peleka,endesha gari,,,,,
kula,,,,,,
tia moyo,himiza,pa moyo,,,,
furahi,,,,,,
kuwa,kuwepo,,,,,
tarajia,,,,,,
tajiriba,zoweya,uzoefu,pitia,,,
eleza,,,,,,
jieleza,,,,,,
kabili,kabiliana na,angalia,,,,
anguka,,,,,,
sikia,ona,,,,,
pata,tafuta,,,,,
