241,776,(words and phrases)
pokea,kubali,
isha,Maliza,
itchikiya,itchika,itika
,,
weza,,
itchika,,
itikia,ruhusu,
jibia,jibu,
timiza,,
kokotana,,
tengeneza,,
Kufika,Kuya,
uliza,,
epuka,,
Kuwa,,
Kwanza,,
amini,,
yenga,jenga,
uza,nunua,
ita,,
,,
beba,,
bamba,kamata,bana
sababisha,,
badirisha,,
angaria,angarishisha,
chakula,chagula,
jimisha,zima,
sanfisha,sukula,safisha
sanisha,,
Kuya,,
uzunika,,
isha,maliza,
,,
Kuya na,Kuwa na,
endelesha,,
changiya,changa,
chunguza,,
,,
Bei,Beyi,
 Weza,,
fanya,,
tambuka,vuka,
kata,,
harabisha,haribu,
,,
peleka,,
katala,bisha,kana
tegemea,,
ambiya,,
harabisha,,
endelea,,
potea,,
vundua,Gundua,vumbula
fanya,,
"vala, vaa",,
unwa,,
bulula,tembesha,tembeza
Kuria,Kula,
,,
,,
,,
,,
,,
ambiya,,
,,
Nsula,Buso,Uso
Anguka,,
,,
pata,,
isha,maliza,
luka,Ruka,
fwata,,
sabwa,sahau,
rumiya,,
,,
pata,,
pachiya,patiya,mpa
Kwenda,,
komeya,,
fanishika,,
Kuwa na,,
shikiya,sikia,
saidia,,
fuchika,fuchama,
bamba,,
tumaini,,
waza,fikiria,
,,
ongeza,,
,,
mwambia,,
alika,ita,
,,
bambanisha,unganisha,
chunga,,
jua,,
mwisho,,
cheka,,
funda,jifunza,
Toka,acha,
kongosha,,
Kupenda,,
,,
shikiya,sikiliza,
ishi,,
angariya,angalia,
penda,,
fanya,tengeneza,
,,
,,
Pima ,,
Kukutana,,
taya,taja,
,,
chofa,songa,
Lazima,,
,,
,,
fungula,,
,,
,,
ripa,lipa,
fanya,,
cheza,,
onesha,,
pendelea,,
tayarisha,,
vinya,,
kinga,,
,,
sukuma,,
fika,,
soma,,
Fika,,
funda,soma,
pokeya,pata,
,,
shusha,punguza,
,,
,,
achiriya,achilia,
Kukumbuka,,
tosha,Toa,
rudisha,rudia,
badilisha,,
jibu,jibia,
,,
Jibu,Majibu,
rudisha,,
onesha,,
panda,,
kimbiya,,
chunga,,
Sema,,
ona,,
uzisha,,
tuma,,
weka,,
kabula,gawa,
Pika,Piga masashi,
onesha,,
imba,,
ikala,,
lala,,
,,
checka,,
,,
Sauti,,
sumburia,,
shimama,simama,
Kwanza,,
sema,,
funda,funza,
weza,,
,,
,,
,,
,,
fwakiya,Fagiya,
beba,chuguwa,
ongeya,sumburiya,
ambiya,,
,,
waza,fikiri,
tupa,,
bamba,gusa,
fundisha,,
safiri,,
,,
pima,onja,
geuza,geuka,
elewa,,
tumia,tumikisha,
tembeleya,,
ngoya,chunga,
taka,,
tembeya,,
angariya,angalia,
weza,,
jiuliza,,
anjika,andika,
,,
,,
kalanga,,
,,
koma,,
choma,lungusha,
