58,
Majikupwa,
Majikujaa,
Maji mengi,
Maji makuu,
Ufukwe,
Pwaa,
Mwamba,
Mvuvi,
Samaki,nsi
Kafi,
Kasiya,
Ufyusa,
changu,
Kundaji,
Nguru,
Papa,
Jodari,sehewa
Kuvunja,
Kwelea,
Zama,
Lulu,
Shaza,
Kaa,
Kasa,
Pweza,
Mkizi,
Simu,dagaa
Ndoana,
Chambo,
Mburukenge,
Ogeleya,
Omo,
Jahazi,
Meli,
Dau,
Kihori,
Tezi,
Ngamani,
Tanga,
Ndoana,
Oza,
Nyongo,
Mwiba,
Para,
Vumba,
Mto,
Maji baridi,
Maji chumvi,
Ziwa,
Bahari,
Mchanga wa pwani,
Maji ya pwani,
Mawimbi,
Kuchafuka,
Shuwari,
