277,,
sio,,
pia,,
sana,,
mara nyingi,,
hata hivyo,,
pia,,
kawaida,,
kweli,,
mapema,,
kamwe,abadan,
kila mara,,
mara nyingine,,
pamoja,,
uwezekano ,,
tu,,
kwa kawaida,,
badala ya-,,
kweli,,
tena,,
afadhali,,
karibu,,
hasa,hususan,
wakati wowote,,
kwa haraka,,
pengine,,
tayari,,
chini ya,,
,,
kwa sababu hiyo,,
zaidi,mwingine,
basi,hivyo basi,
urahisi,,
mwishowe,hatimaye,
hasa,,
kwa hakika,,
kawaida,,
sasa,kwa sasa,
sana ,,
hatimaye,,
mara kwa mara ,,
sahihi,,
haraka,,
hasa,,
mbele,,
kila siku,,
yenye,,
mara.,,
kiasi,,
polepole,,
kwa kiasi flani,,
kimsingi,,
kikamili,,
hatimaye,,
sana,,
hivi karibuni,,
umakini,,
mara kwa mara,,
kikamilifu,,
zaidi,,
kawaida,kiasili,
karibu,takriban,
mara kwa mara,,
kwa makini,,
wazi,,
umuhimu,,
uwezekano,,
kidogo,,
kiasi flani,,
sawa,,
sana,,
lazima,,
binafsi,,
nadra,,
mara kwa mara,,
vile vile,,
kimsingi,,
karibu,takriban,
ufanisi,,
awali,,
uhakika,,
hasa,,
tu,,
upole,,
pengine,,
awali,,
takriban,,
kwa kiasi kukubwa,,
kabisa,,
maradufu,,
kwingineko,,
kila mahali,,
bila shaka,wazi,
kikamilifu,,
,,
kwa kufaulu kiasi kikubwa,,
ghafla,,
kweli,kwa uhakika,
karibu,,
kwa yote,pamoja,
hata hivyo,,
moja kwa moja,,
kwa undani,,
kwa uhakika,,
kwa makusudi,,
vigumu,,
kwa urahisi,,
sana,,
kwa bahati mbaya,,
nje,kuzaa,
kwa ufupi,,
zaidi ya hayo,,
kwa nguvu,,
kwa uaminifu,,
awali,,
kama,,
hapo,,
lini,,
vipi,,
hivyo,,
juu,,
nje,kuzaa,
hapana,,
pekee,,
vizuri,,
basi,,
kwanza,,
wapi,,
mbona,,
sasa,,
kandokando,,
mara moja,,
chini,,
mbali,,
hapa,,
usiku wa leo,,
mbali,,
leo,,
mbali,,
kabisa,,
baadaye,,
juu,,
bado,,
labda,,
vinginevyo,kwa njia nyingine,
karibu,,
mbele,,
mahali fulani,,
popote,,
tafadhali,,
milele,,
kwa namna flani,,
kabisa,,
ng'ambo,,
naam,,
mahali popote,,
kesho,,
jana,,
ya,,
kwa,,
katika,,
juu ya-,,
kwa,,
zaidi.,,
kuhusu,,
vile. kama,,
kupita,,
mpya,,
tu,,
yoyote,,
kila,,
sana,mengi,
kabla,,
kati ya,,
huria,,
haki,,
bora zaidi,,
tangu,,
zote mbili,,
hakika,,
bila,,
zama za nyuma,,
bora,,
kutosha,,
mengi,,
nfogo,,
ingawa,,
chini ya,kiasi kidogo,
kidogo,mdogo,
chini ya,,
ijayo,,
ngumu,,
halisi,,
kuondoka,kuachwa,kushoto
angalau,,
kwa ufupi,,
kwa kuchelewa,,
wakati wa-,,
pamoja na-,,
chini,,
kweli,,
mbaya,,
vuka,,
wazi,,
rahisi,,
kamili,,
karibu,,
kwa kuchelewa,,
sahihi,,
haraka,,
pana,,
kipengee,,
vibaya,,
iliyopita,,
nyuma,,
haraka,,
kiwimawima,,
moja kwa moja,,
ziada,,
asubuhi,,
nzuri,,
kwa ujumla,,
peke yake,,
yenye kung'aa,,
,,
vyovyote,,
polepole,,
safi,,
hivi karibuni,,
wakati wowote,,
nafuu,,
nyembamba,dhaifu,
kupunguza,tulia,
haki,,
sawa,,
nyororo,laini,
uongo,,
nene,nono,
kukusanya,,
karibu,,
,,
kando na,,
hakuna,,
ajabu,,
mtalii,,
kando na,,
kwa sauti kubwa,,
zuri kabisa,,
iliyokazwa,bila nafasi,
inayochukiza,jumla,
,,
sehemu ya mji iliyo na shughuli nyingi za kibiashara,,
-aminifu,,
sawa,,
omba,sali,
kila wiki,,
