620,,
akaunti,,
kutenda,,
marekebisho,ukarabati,
matangazo,,
makubaliano,,
hewa,,
idadi,,
,,
pembe,,
mnyama,,
jibu,,
chungu,,
kifaa,,
tufaha,,
ruhusa,,
upinde. ,,
mabishano,,
mkono,silaha,
jeshi,,
sanaa,,
vamia,,
jaribio,,
uangalifu,,
kivutio,,
mamlaka,,
mtoto,,
nyuma,,
mfuko,,
bakio,,
mpira,,
bendi,kundi,
msingi,,
beseni,,
kikapu,,
kuoga,,
kitanda,,
nyuki,,
tabia,,
imani.,,
kengele,,
,,
ndege,,
kuzaliwa,,
kipande,,
,,
,,
,,
pigo,,
ubao,,
mashua,,
,,
mfupa,,
kitabu,,
buti,,
chupa,,
sanduku,,
mvulana,,
ubongo,,
breki,,
tawi,,
,,
mkate,,
pumzi,,
jiwe,,
daraja,,
kaka,,
brashi,,
ndoo,,
,,
,,
choma,,
pasua,,
biashara,,
siagi,,
kifungo,,
keki,,
kamera,,
,,
kadi,,
jali,,
behewa,,
rukwama,,
,,
paka,,
sababu,,
mnyororo,,
chaki,,
nafasi,,
mabadiliko,,
jibini,,
,,
kidevu,,
kanisa,,
duara,,
saa,,
kitambaa,,
wingu,,
makaa,,
koti,,
kola,,
rangi,,
kichana,,
starehe,,
kamati,,
kampuni,,
kulinganisha,,
mashindano,,
,,
hali,,
uhusiano,,
dhibiti,,
pika,,
,,
nakala,,
,,
kamba,,
kifuniko,,
kohoa,,
nchi,,
funika,,
ng'ombe,,
ufa,,
deni,,
uhalifu,,
kupondaponda,,
lia,,
kikombe,,
,,
pazia,,
pindo,,
mto,,
haribu,,
hatari,,
mtoto wa kike,,
siku,,
kifo,,
deni,,
uamuzi,,
shahada,,
mchoro,,
tamani,,
uharibifu,,
,,
maendeleo,,
,,
usagaji chakula,,
mwelekeo,,
ugunduzi,,
mazungumzo,,
ugonjwa,,
kero,,
umbali,,
usambazaji,,
mgawanyiko,,
jibwa,,
mlango,,
shaka,,
bomba,,
droo,,
nguo,mavazi,
kunywa,,
kupeleka gari,,
tone,angusha,
vumbi,,
sikio,,
dunia,,
mpaka,,
elimu,,
athari,,
yai,,
,,
mwisho,,
injini,,
kosa,,
tukio,,
mfano,,
badilisha,,
kuwepo,,
upanuzi,,
uzoefu,,
mtaalamu,mjuzi,
jicho,,
,,
uso,,
ukweli,,
kuanguka,,
family,,
shamba,,
baba,,
hofu,uoga,
unyoya,,
hisia,,
riwaya,,
uwanja,,
vita,pigana,
kidole,,
moto,,
samaki,,
bendera,,
,,
ndege,,
sakafu,,
uwa,,
ruka,nzi,
kunja,,
chakula,,
mguu,wayo,
lazimisha,,
uma,,
umbo,,
ndege,,
fremu,mwili,
rafiki,,
mbele,,
tunda,,
bustani,,
,,
msichana,,
glasi,,
glavu,,
mbuzi,,
dhahabu,,
,,
serikali,,
nafaka,,
nyasi,,
,,
kundi,,
kukua,,
mwogozo,,
bunduki,,
nywele,,
nyundo,,
mkono,,
bandari,,
maelewano,,
kofia,,
chukia,chuki,
kichwa,,
kusikia,Usikilizaji kesi,
moyo,,
joto,,
saidia,,
historia,,
shimo,,
ndoano,,
tumaini,,
pembe,,
farasi,,
hospitali,,
saa,,
nyumba,,
,,
barafu,,
wazo,,
kitambulisho,,
,,
ongeza,,
kiwanda,,
wino,,
mdudu,,
chombo,,
bima,,
riba,,
uvumbuzi,,
chuma,,
kisiwa,,
,,
kito,,
unganisha,kujiunga,
safari,,
hakimu,hukumu,
,,
ruka,,
birika,,
ufunguo,,
teke,,
busu,,
goti,,
kisu,,
fundo,,
maarifa,ujuzi,
ardhi,,
lugha,,
cheka,,
ongoza,,
jani,,
kujifunza,,
ngozi,,
guu,,
barua,,
kiwango,,
maktaba,,
inua,,
mwangaza,,
kikomo,,
mstari,,
,,
mdomo,,
,,
orodha,,
kufuli,,
mtazamo,,
hasara,,
mapenzi,,
chini,,
mashini,,
mtu,,
meneja,,
ramani,,
weka alama,,
soko,,
misa,wingi,
kiberiti,,
chakula,,
kipimo,,
nyama,,
mkutano,,
kumbukumbu,,
chuma,,
kati,,
maziwa,,
akili,bongo,
,,
dakika,,
ukungu,,
pesa. ,,
tumbili,nyani,
mwezi,,
mwezi,,
asubuhi,,
mama,,
mwendo,,
mlima,,
kinywa,,
songa,,
misuli,,
muziki,,
msumari,,
jina,,
taifa,,
shingo,,
haja,,
sindano,,
,,
wavu,,
habari,,
usiku,,
kelele,,
pua,,
,,
namba,,
njugu,nazi,
uangalifu,,
ofa,,
ofisi,,
mafuta,,
operesheni,,
maoni,,
chungwa,,
mpangilio,,
shirika,,
pambo,,
tanuri,,
mwenyewe,,
ukurasa,,
maumivu,uchungu,
rangi,,
karatasi,,
kifurushi,,
sehemu,,
kuweka,,
malipo,,
amani,,
,,
kalamu,,
penseli,,
