176,,
ghafla,,
chenye asidi,,
kupendeza,,
changamfu,yenye kupendeza,
kufurahishwa,,
wastani,,
mwehu,kichaa,
kuchosha,,
jasiri,,
angavu,,
pana,,
mwenye haiba,,
mjuvi,,
mcheshi,,
mshamba,wa kizamani,
safi,,
wazi,,
kufunga,kutanda wingu,
iliyopinda,,
katili,,
mzito,,
pinda,kunjwa,
mwenye ubinafsi,,
hatari,,
kusisimua,ogofya,
iliooza,,
mwongo,mmbea,
-enye kina,,
shindwa,,
kisunzi,,
bila furaha,bila bashasha,
choka,,
bila furaha,,
-enye hamu,,
kifahari,maridadi,
-konda,,
aibu,,
ya kuvutia,,
yenye nguvu,yenye juhudi,
dhana,,
ajabu,furahisha,
-kali,,
chafu,,
sawasawa,,
-legevu,,
kupepea,,
-jinga,,
hofu,wasiwasi,
mpya,safi,bichi
-a kirafiki,,
-pole,,
kutisha,,
kisunzi,,
-kubwa,,
-enye ubembe,urembo,
kumetameta,,
tukufu,,
mrembo,,
zuri,ya kupendeza,mwenye neema
yenye mafuta,,
huzunika,,
chembechembe,,
ya kuchukiza,isiopendeza,
-enye afya,,
kusaidia,,
mnyonge,wanyonge,
juu,,
wazi,,
ya kuvutia,,
kutisha,,
kubwa,,
-enye njaa,,
-enye kuumiza,,
kutokuwa na urafiki,,
ilio bora,,
-enye kukasirisha,,
-washa,,
wivu,,
wasiwasi,,
mcheshi,,
,,
ilio bora,,
mcheshi ,,
furaha,,
kupendeza,kuvutia,
wasiwasi,,
karimu,,
hatari,,
-enye bahati,,
mcheshi,,
macho,,
nyembamba,,
mbaya,,
mtukutu,,
kuwa na wasiwasi,,
mwenda wazimu,,
kamili,,
kushangaa,,
ndogo,,
ndogo,,
pekee,tambarare,
kupendeza,,
tulivu,,
fahari,,
ya thamani,,
kukasirisha,uchokozi,
kiburi,yenye fahari,
yenye harufu kali,,
dhaifu,,
isiyo ya kawaida,,
kuhakikishiwa,,
rahisishiwa,,
yenye kuchukiza,,
-a kujibu,,
iva,,
imara,,
oza,,
mzunguko,,
kakamaa,,
duara,,
yenye chumvi,mtu mchangamfu,
-enye dhihaka,,
kidogo sana,chache,
shaghalabaghala,,
dhaifu,,
wazi,,
mkali,,
ng'ara,,
fupi,,
laini,nyororo,
-jinga,,
kondefu,,
embamba,,
kuteleza,,
kitamu,,
kijana,,
laini,,
mvutano,wasiwasi,
ya kutisha,,
kukasirishwa kwa haraka,,
-enye shukrani,,
nene,,
iliyo kazwa,,
kwa wakati mzuri,,
mtego au fumbo,,
mara kwa mara,,
kuchoka,,
mchekeshaji,,
mwenye bidii ,,
mchangamfu,,
