267,,,,,,,
Pokea,Kubali,Kiri,Ridhia,,,,
Maliza,faulu,timiza,fanikisha,,,,
Ruhusu,ingiza,pitisha,chukua,laza ,kiri,ungama,kubali kosa
Athiri,gusa,hisi,,,,,
Weza,,,,,,,
Kubali,,,,,,,
Ruhusu,,,,,,,
Jibu,Itika,,,,,,
Tumia,,,,,,,
Hoji,jibizana,,,,,,
Panga,,,,,,,
Njoo,kuja,,,,,,
kuuliza,,,,,,,
Epuka,,,,,,,
Kuwa,,,,,,,
Anza,,,,,,,
Amini,,,,,,,
Jenga,,,,,,,
Nunua,,,,,,,
Ita,,,,,,,
Jail,husudu,,,,,,
Beba,,,,,,,
Shika,,,,,,,
Sababisha,,,,,,,
Badili,,,,,,,
Kagua,angalia,,,,,,
Chagua,,,,,,,
Safisha,futa,,,,,,
Safisha,,,,,,,
Kusanya,,,,,,,
Kuja,njoo,,,,,,
Lalamika,,,,,,,
Maliza,kamilisha,,,,,,
Jumuisha,,,,,,,
Unganisha,kuwa na,,,,,,
,,,,,,,
Changia,,,,,,,
Thibiti,endesha kiamri,,,,,,
Rekebisha,,,,,,,
Gharama,bei,,,,,,
Mudu,weza,,,,,,
Umba,,,,,,,
Vuka,,,,,,,
Kata,,,,,,,
Haribu,,,,,,,
Shughuli,,,,,,,
Fikisha,peleka,,,,,,
Kana,kataa,,,,,,
Tegemea,,,,,,,
Eleza,,,,,,,
Haribu,,,,,,,
Unda,,,,,,,
Potea,,,,,,,
Gundua,,,,,,,
Fanya,,,,,,,
Vaa,,,,,,,
Kunywa,,,,,,,
Endesha,,,,,,,
Kula,,,,,,,
Hamasisha,,,,,,,
Furahia,,,,,,,
Anza kuwepo,,,,,,,
Tarajia,,,,,,,
Uzoefu,,,,,,,
Elezea,,,,,,,
Haraka haraka,,,,,,,
Uso,Wajihi,,,,,,
Anguka,,,,,,,
Hisi,,,,,,,
Tafuta,pata,,,,,,
Maliza,,,,,,,
Paa,ruka,,,,,,
Fuata,andama,,,,,,
Sahau,,,,,,,
Samehe,,,,,,,
Unda,,,,,,,
Pata,,,,,,,
Peana,toa,,,,,,
Nenda,,,,,,,
Kua,,,,,,,
Tokea,,,,,,,
Pata,,,,,,,
Sikia,,,,,,,
Saidia,,,,,,,
Ficha,,,,,,,
Shikilia,,,,,,,
Tumaini,,,,,,,
Fikiria,,,,,,,
Boresha,,,,,,,
Ongeza,,,,,,,
Shawishi,,,,,,,
Eleza,ambia,,,,,,
Alika,,,,,,,
Husisha,,,,,,,
Ungana,,,,,,,
Tunza,,,,,,,
Elewa,jua,,,,,,
Maliza,isha,,,,,,
Cheka,,,,,,,
Jifunza,,,,,,,
Ondoka,likizo,,,,,,
Kopesha,,,,,,,
Penda,,,,,,,
Zuia,,,,,,,
Sikiliza,,,,,,,
Ishi,,,,,,,
Tazama,angalia,,,,,,
Penda,,,,,,,
Tengeneza,unda,,,,,,
Maada,muhimu,,,,,,
Maanisha,,,,,,,
Pima,,,,,,,
Kutana,,,,,,,
Taja,,,,,,,
Jali,akili,,,,,,
Sogea,ondoa,,,,,,
Lazima,,,,,,,
Hitaji,,,,,,,
Saidia,shusha bei,,,,,,
Fungua,,,,,,,
Agiza,,,,,,,
Miliki,,,,,,,
Lipa,,,,,,,
Tenda,fanya jambo,,,,,,
Cheza,,,,,,,
Sonda,elekezea kwa kidole,,,,,,
Pendelea,,,,,,,
Tayarisha,,,,,,,
Bonyeza,,,,,,,
Kinga,,,,,,,
Zalisha,,,,,,,
Linda,,,,,,,
Toa,,,,,,,
Sukuma,,,,,,,
Fika,,,,,,,
Soma,,,,,,,
Pata,pokea,,,,,,
Nukuu,,,,,,,
Punguza,,,,,,,
Zingatia,,,,,,,
Husisha,,,,,,,
Achia,,,,,,,
Kumbuka,,,,,,,
Ondoa,,,,,,,
Rudia,,,,,,,
Weka badala ya,,,,,,,
Jibu,,,,,,,
Taarifu,,,,,,,
Matokeo,,,,,,,
Rudisha,,,,,,,
Funua,weka wazi,,,,,,
Angaza,,,,,,,
Kimbia,,,,,,,
Okoa,nusuru,,,,,,
Sema,,,,,,,
Ona,,,,,,,
Uza,,,,,,,
Tuma,,,,,,,
Seti,kamili,,,,,,
Peana,changia,,,,,,
Piga risasi,,,,,,,
Onesha,,,,,,,
Imba,,,,,,,
Kaa,keti,,,,,,
Lala,,,,,,,
,,,,,,,
Tabasamu,kuwa na bashasha,,,,,,
Penga,,,,,,,
Sauti,,,,,,,
Ongea,,,,,,,
Simama,,,,,,,
Anza,,,,,,,
Sema,thibitisha,,,,,,
Soma,,,,,,,
Faulu,,,,,,,
Pendekeza,,,,,,,
Sambaza,,,,,,,
Fikiria,chukulia,,,,,,
Nusurika,endelea na Maisha,,,,,,
Fagia,,,,,,,
Chukua,,,,,,,
Ongea,,,,,,,
Ambia,,,,,,,
Jaribu,,,,,,,
Fikiria,,,,,,,
Tupa,,,,,,,
Shika,gusa,,,,,,
Fundisha,,,,,,,
Safari,,,,,,,
Tibu,endekeza,,,,,,
Jaribu,,,,,,,
Geuza,,,,,,,
Elewa,fahamu,,,,,,
Tumia,,,,,,,
Tembelea,,,,,,,
Subiri,ngojea,,,,,,
Taka,,,,,,,
Tembea,,,,,,,
Tazama,angalia,,,,,,
Shinda,,,,,,,
Shangaa,,,,,,,
Andika,,,,,,,
Kanda,,,,,,,
,,,,,,,
Kaanga,,,,,,,
Kanda,,,,,,,
Pasi,chuma,,,,,,
Choma,,,,,,,
