686,,
akaunti,,
kutenda,,
marekebisho,,
matangazo,,
makubaliano,,
hewa,,
idadi. kiasi,,
kichekesho,pumbao,
pembe,,
mnyama,,
jibu,,
chungu,,
chombo,,
tufaha,,
ruhusa,,
upinde,kizingo,
majadiliano,,
mkono,silaha,
jeshi,,
sanaa,,
vamia,,
jaribio,,
uangalifu,,
kivutio,,
mamlaka,,
mtoto,,
nyuma,,
mfuko,,
baki,mizani,
mpira,,
bendi,kundi,
msingi ,,
beseni,bonde ,
kikapu,,
kuoga,kukoga,
kitanda,,
nyuki,,
tabia,,
imani,,
kengele,,
,,
ndege,,
kuzaliwa,,
kipande,kiasi,kidogo
kuuma,,
kijembe,,
damu,,
pigo,,
ubao,,
mashua,,
mwili,,
mfupa,,
kitabu,,
buti,,
chupa,,
sanduku,,
mvulana,,
ubongo,,
breki,,
tawi,,
shaba,,
mkate,,
pumzi,,
jiwe,,
daraja,,
kaka,,
brashi,,
ndoo,,
jumba,,
,,
choma,,
pasua,,
biashara,,
siagi,,
kifungo,,
keki,,
kamera,,
turubai,durufu,
kadi,,
jali,,
behewa,,
rukwama,,
,,
paka,,
sababu,,
mnyororo,,
chaki,,
nafasi,bahati,
mabadiliko,,
jibini,,
sataranji,,
kidevu,,
kanisa,,
duara,,
saa,,
kitambaa,,
wingu,,
makaa,,
koti,,
ukosi,kola,
rangi,,
kichana,,
starehe,faraja,
kamati,,
kampuni,,
kulinganisha,,
mashindano,,
,,
hali,,
uhusiano,,
dhibiti,,
pika,,
,,
nakala,,
igiza ,,
kamba,,
kizibo,,
kohoa,,
nchi,,
funika,,
ng'ombe,,
ufa,,
deni,,
uhalifu,,
kuponda,,
lia,,
kikombe,,
sasa,ya kisasa,
pazia,,
pindo,,
mto,,
haribu,,
hatari,,
binti,,
siku,mchana,
kifo,,
deni,,
uamuzi,,
shahada,,
mchoro,,
tamani,,
uharibifu,,
undani ,,
maendeleo,,
,,
usagaji chakula,,
mwelekeo,,
ugunduzi,,
mazungumzo,,
ugonjwa,,
karaha,,
umbali,,
usambazaji,,
mgawanyiko,,
