279,,
sio,siye,siyo
pia,,
sana,,
mara nyingi,,
hata hivyo,,
pia,kadhalika,
kawaida,,
kweli,,
mapema,,
kamwe ,,
kila mara,,
mara nyingine,,
pamoja,,
uwezekano kutokea,,
rahisi,,
kwa kawaida,,
badala ya-,,
kweli,,
tena,,
afadhali,,
karibu,,
hasa,some say hususan,
wakati wowote,,
kwa haraka,,
pengine,,
tayari,,
chini ya,,
moja kwa moja,,
kwa sababu hiyo,,
tena,mwingine,
hivyo basi,,
urahisi,,
ghafla,,
hasa,,
kwa hakika,,
kawaida,,
hivi sasa,,
pitiliza,,
hatimaye,,
mara zote,,
sahihi,,
haraka,,
hasa,,
mbele,,
kila siku,,
yenye,,
mara.,,
kiasi,,
polepole,,
kwa usawa,,
kimsingi,,
kikamili,,
hatimaye,,
sana.,,
hivi karibuni,,
umakini,,
mara kwa mara.,,
kikamilifu,,
zaidi,,
kwa kiasili,,
karibu,takriban,
mara kwa mara,,
kwa makini,,
wazi,,
umuhimu,,
uwezekano,,
kidogo,,
kiasi fulani,,
sawa,,
sana,,
lazima,,
binafsi,,
nadra,,
mara kwa mara,,
vile vile,,
kimsingi,,
karibu,takriban,
ufanisi,,
awali,,
uhakika,,
hasa,,
tu,,
upole,,
pengine,,
awali,,
takriban,,
kwa kiasi kukubwa,,
kabisa,,
maradufu,,
kwingineko,,
kila mahali,,
bila shaka,wazi,
kikamilifu,,
uwepo kiumbo,,
kwa kufaulu kiasi kikubwa,,
ghafla,,
kweli,kwa uhakika,
karibu,,
kwa yote,pamoja,
hata hivyo,,
moja kwa moja,,
kwa undani,,
kwa uhakika,,
kwa makusudi,,
vigumu,,
kwa urahisi,,
sana,,
kwa bahati mbaya,,
inayofuata,,
kwa ufupi,,
zaidi ya hayo,,
kwa nguvu,,
kwa uaminifu,,
awali,,
kama,,
hapo,,
lini,,
vipi,,
hivyo,,
juu,,
nje,kuzaa,
hapana,,
pekee,,
vizuri,,
basi,,
kwanza,,
wapi,,
mbona,,
sasa,,
kandokando,,
mara moja,,
chini,,
mbali,,
hapa,,
usiku wa leo,,
mbali,,
leo,,
mbali,,
kabisa,,
baadaye,,
juu,,
bado,,
labda,,
vinginevyo,kwa njia nyingine,
karibu,,
mbele,,
mahali fulani,,
popote,,
tafadhali,,
milele,,
kwa namna flani,,
kabisa,,
ng'ambo,,
naam,,
mahali popote,,
kesho,,
jana,,
ya,,
kwa,,
katika,,
juu ya-,,
kwa,,
zaidi.,,
kuhusu,,
vile,kama,
kupita,,
mpya,,
tu,,
yoyote,,
kila,,
sana,mengi,
kabla,,
kati ya,,
huria,,
haki,,
bora zaidi,,
tangu,,
zote mbili,,
hakika,,
bila,,
zama za nyuma,,
bora,,
kutosha,,
mengi,,
nfogo,,
ingawa,,
chini ya,kiasi kidogo,
kidogo,mdogo,
chini ya,,
ijayo,,
ngumu,,
halisi,,
kuondoka,kuachwa,kushoto
angalau,,
kwa ufupi,,
kwa kuchelewa,,
wakati wa-,,
pamoja na-,,
chini,,
kweli,,
mbaya,,
vuka,,
wazi,,
rahisi,,
kamili,,
karibu,,
kwa kuchelewa,,
sahihi,,
haraka,,
pana,,
kipengee,,
vibaya,,
iliyopita,,
nyuma,,
haraka,,
kiwimawima,,
moja kwa moja,,
ziada,,
asubuhi,,
nzuri,,
kwa ujumla,,
peke yake,,
yenye kung'aa,,
,,
vyovyote,,
polepole,,
safi,,
hivi karibuni,,
wakati wowote,,
nafuu,,
nyembamba,dhaifu,
kupunguza,tulia,
haki,,
sawa,,
nyororo,,
uongo,,
nene,,
kukusanya,,
karibu,,
mnyama,ya porini,
kando na,,
hakuna,,
ajabu,,
mtalii,,
kando na,,
kwa sauti kubwa,,
zuri kabisa,,
iliyokazwa,bila nafasi,
inayochukiza,jumla ,
mgonjwa,umwa,
sehemu ya mji iliyo na shughuli nyingi za kibiashara,,
mwaminifu,,
sawa,,
omba,suali,
kila wiki,,
