240,904,(words and phrases)
Bali,kiri,ridhia
Timiza,fikia,
Kubali,,
Athiri,dosari,
Weza,,
Kubali,,
Ruhusu,,
Jibu,,
Tumia,,
Shindana,,
Panga,,
Fika,kuja,
Kuuliza,,
Epuka,,
Kuwa,,
Anza,,
Amini,,
Jenga,,
Nunua,,
Kuita,kupiga simu,
Kujali,,
Beba,,
Shika,kamata,
Sababisha,,
Badilisha,,
Angalia,tazama,
Chagua,,
Safisha,ondosha,
Safisha,,
Kusanya,,
Kuja,,
lalamika,,
Maliza,,
Jumuisha,,
Kusanya,,
Endelea,,
Changia,,
Dhibiti,,
Rekebisha,,
Gharimu,,
weza,,
Kuunda,,
Kuvuka,,
Kata,,
Haribu,,
Shughulikia,,
Fikisha,kuzaa,
Kataa,,
Tegemea,,
Elezea,,
Kuharibu,,
Kukuza,,
Toweka,Potea,
Gundua,,
fanya,,
Vaa,,
kunywa,,
Kuendesha gari,,
Kula,,
Kushajihisha,kutia moyo,
Burudika,furahi,
kuwepo,,
Kutegemea,kutarajia,
Uzoefu,,
Elezea,,
Kueleza,,
Uso,,
anguka,,
Hisi,,
Tafuta,,
Maliza,,
Ruka,,
Fuata,,
sahau,,
Samehe,,
Unda,,
Pata,,
kumpa,,
kwenda,,
Kukua,,
Tokea,,
Pata,,
Sikia,,
Saidia,,
ficha,,
shikilia,,
tumai,,
Fikiria,dhani,
boresha,,
ongeza,,
shawishi,,
juza,mwambia,
Alika,,
husisha,jumuisha,
jumuika,unganisha,
weka,,
Kujua fahamu,,
Mwisho,,
Cheka,,
Jifunza,,
Acha,Ondoka,
Kopesha,,
Penda,,
Zuia,kueka mipaka,
Sikiliza,,
Ishi,,
Angalia,Tazama,
Penda,,
fanya,Tengeneza,
Jambo,,
Maanisha,,
Pima,,
Kutana,,
Taja,,
Jali,,
Ondoa,Sogeza,
Lazima,,
Taka,,
Punguza,saidia,
Fungua,,
Agizaa,,
Miliki,,
Kulipa,,
Tenda,Fanya,
Cheza,,
"Onesha,",,
Pendelea,,
Tayarisha,,
Bonyeza,,
Kinga,,
Zalisha,,
Linda,,
Toa,,
Sukuma,,
Fikia,,
Soma,,
Pokea,,
Hifadhi,,
Punguza,,
Kuhusu,Jali,
Husisha,,
Toa,Achia,
Kukumbuka,,
Ondosha,,
Kurudia,,
Badilisha,,
Jibu,,
Toa taarifa,,
Jibu,,
Rudisha,,
Onesha,,
Kupanda,,
kimbia,,
Okoa,,
Sema,,
Ona,,
Uuza,,
Tuma,,
weka,,
shirikisha,,
Kupiga,,
Onyesha,,
Imba,,
Kaa,,
lala,,
,,
Tabasamu,,
Kwenda chafya,,
Sauti,,
Sema,kuzungumza,
Simama,,
Anza,,
Taja,sema,
Soma,,
Fanikiwa,,
Pendekeza,,
Sambaza,,
Dhani,fikiria,
Endelea kuishi,kubaki,
Fagia,,
Chukua,,
Zungumza,Sema,
Ambia,,
Kutunza,,
Fikiria,,
Rusha,,
Gusha,,
fundisha,Somesha,
Safiri,,
Tibu,,
Jaribu,,
Geuza,,
Fahamu,,
Tumia,,
Tembelea,,
Subiri,,
Taka,,
Tembea,,
Angalia,,
Shinda,,
Shangaa,,
Andika,,
Kanda,,
,,
Kanga,,
Kanda,,
Chuma,pasi,
Choma,,
